State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,68.84,Royal Enfield,Hunter 350,"? 2,52,816.00",2021,672,Electric,78.41,Second,2024,Active,Individual,"? 1,49,934.18",Tier 3
Rajasthan,23.80,Bajaj,Dominar 400,"? 1,31,100.00",2020,769,Hybrid,89.98,Third,2023,Active,Individual,"? 66,960.30",Tier 3
Madhya Pradesh,27.67,KTM,125 Duke,"? 2,01,016.00",2020,216,Hybrid,71.46,Second,2023,Active,Dealer,"? 1,41,522.64",Tier 3
Karnataka,62.85,Kawasaki,Ninja 300,"? 1,32,482.00",2021,556,Petrol,51.73,Third,2021,Active,Dealer,"? 56,057.22",Tier 1
Madhya Pradesh,10.62,Yamaha,FZ V3,"? 2,31,796.00",2019,298,Petrol,54.72,Third,2019,Not Available,Individual,"? 1,32,538.36",Tier 3
Maharashtra,47.71,Hero,Splendor Plus,"? 60,839.00",2019,386,Electric,92.08,First,2019,Not Available,Dealer,"? 47,466.45",Tier 3
Maharashtra,77.95,Royal Enfield,Meteor 350,"? 3,49,740.00",2022,970,Petrol,58.28,First,2022,Expired,Individual,"? 1,75,038.79",Metro
Tamil Nadu,11.57,Kawasaki,Vulcan S,"? 1,93,781.00",2019,375,Electric,61.48,Second,2022,Expired,Dealer,"? 96,676.39",Tier 3
Punjab,78.63,KTM,390 Adventure,"? 1,45,538.00",2022,330,Electric,89.76,Second,2023,Active,Dealer,"? 1,03,908.96",Tier 2
Rajasthan,22.94,Hero,HF Deluxe,"? 2,27,055.00",2024,626,Hybrid,68.13,Third,2024,Active,Individual,"? 1,46,320.50",Tier 3
Karnataka,24.14,TVS,Jupiter,"? 1,45,061.00",2024,353,Petrol,28.08,First,2024,Not Available,Individual,"? 83,042.09",Tier 2
Gujarat,19.00,Kawasaki,Vulcan S,"? 2,83,629.00",2019,621,Petrol,35.62,First,2019,Expired,Dealer,"? 1,80,614.03",Tier 1
Uttar Pradesh,38.38,Kawasaki,Z650,"? 3,23,882.00",2015,674,Petrol,26.99,First,2015,Expired,Dealer,"? 2,35,841.30",Tier 3
Karnataka,31.41,Yamaha,Fascino 125,"? 3,13,211.00",2017,241,Electric,78.78,Second,2019,Expired,Dealer,"? 1,39,468.03",Tier 2
Madhya Pradesh,39.71,Hero,Xtreme 160R,"? 1,65,864.00",2024,774,Electric,86.22,First,2024,Not Available,Individual,"? 1,18,831.51",Tier 1
Gujarat,46.96,Kawasaki,Ninja 300,"? 1,06,943.00",2019,980,Petrol,56.58,First,2019,Expired,Individual,"? 72,475.12",Tier 3
Delhi,13.65,Hero,Xtreme 160R,"? 3,73,959.00",2020,733,Petrol,29.27,First,2020,Active,Dealer,"? 2,49,938.95",Tier 3
Uttar Pradesh,53.78,Royal Enfield,Hunter 350,"? 2,88,878.00",2020,659,Petrol,26.89,Third,2020,Expired,Individual,"? 1,23,383.54",Metro
Rajasthan,21.42,Kawasaki,Versys 650,"? 2,87,349.00",2018,665,Hybrid,62.43,First,2018,Active,Individual,"? 1,37,540.87",Tier 2
West Bengal,50.28,Hero,Glamour,"? 1,59,188.00",2017,441,Electric,71.8,Third,2018,Active,Dealer,"? 74,810.24",Tier 3
Punjab,25.39,Yamaha,MT-15,"? 2,33,599.00",2021,959,Hybrid,78.59,Second,2021,Expired,Dealer,"? 1,16,719.31",Tier 3
Madhya Pradesh,28.45,Bajaj,Dominar 400,"? 1,24,572.00",2015,177,Electric,93.33,Third,2015,Not Available,Dealer,"? 80,786.82",Metro
Punjab,55.57,Hero,HF Deluxe,"? 3,05,977.00",2017,261,Hybrid,94.67,Second,2023,Active,Dealer,"? 1,72,445.74",Metro
Punjab,73.15,Kawasaki,Versys 650,"? 3,43,743.00",2019,227,Hybrid,88.98,Third,2020,Not Available,Dealer,"? 2,07,103.09",Tier 3
Delhi,10.94,Kawasaki,Versys 650,"? 3,48,864.00",2021,833,Petrol,41.28,Second,2021,Not Available,Dealer,"? 1,56,687.31",Tier 2
Gujarat,17.06,Kawasaki,Ninja 300,"? 2,76,161.00",2015,880,Electric,78.25,Second,2019,Not Available,Individual,"? 1,45,292.42",Metro
Maharashtra,37.17,Honda,Activa,"? 1,94,846.00",2016,243,Hybrid,71.6,Third,2018,Expired,Dealer,"? 1,11,451.30",Tier 1
West Bengal,12.26,Yamaha,Ray ZR,"? 2,96,387.00",2016,728,Electric,73.21,First,2016,Active,Dealer,"? 1,50,350.99",Tier 1
Karnataka,25.34,Royal Enfield,Hunter 350,"? 2,63,389.00",2023,976,Petrol,45.81,First,2023,Not Available,Dealer,"? 1,81,145.09",Tier 3
Delhi,51.69,Bajaj,Dominar 400,"? 3,90,158.00",2018,620,Petrol,29.77,First,2018,Active,Individual,"? 2,74,058.16",Metro
Madhya Pradesh,78.17,Yamaha,Fascino 125,"? 1,24,319.00",2021,370,Petrol,33.15,Third,2022,Not Available,Dealer,"? 57,652.94",Tier 3
Rajasthan,33.03,Bajaj,Avenger 220,"? 3,01,300.00",2019,202,Electric,97.13,Third,2024,Active,Individual,"? 1,96,062.13",Tier 1
Delhi,72.94,Hero,Passion Pro,"? 93,080.00",2019,829,Hybrid,99.48,Second,2020,Active,Dealer,"? 67,381.90",Metro
